Date,Symbol,Open,High,Low,Close,Volume,Price
1/1/2019 0:00,ETHUSD,130.8,131.7,130,131.1,1288.434493,130.95
1/1/2019 1:00,ETHUSD,131.1,131.1,128.72,130.98,965.092541,131.04
1/1/2019 2:00,ETHUSD,130.98,130.98,129.25,129.79,837.8083796,130.39
1/1/2019 3:00,ETHUSD,129.79,131,129.79,130.83,1307.299291,130.31
1/1/2019 4:00,ETHUSD,130.83,133.75,130.83,132.09,1035.840465,131.46
1/1/2019 5:00,ETHUSD,132.09,132.53,132.09,132.28,515.501945,132.19
1/1/2019 6:00,ETHUSD,132.28,133.86,132.28,133.21,513.9058604,132.75
1/1/2019 7:00,ETHUSD,133.21,134,133,133.54,537.091488,133.38
1/1/2019 8:00,ETHUSD,133.54,135.15,133.24,135,1630.74053,134.27
1/1/2019 9:00,ETHUSD,135,135,133.33,133.62,1519.639762,134.31
1/1/2019 10:00,ETHUSD,133.62,133.83,133.62,133.79,7.76263,133.71
1/1/2019 11:00,ETHUSD,133.79,134.7,133.51,133.98,276.7231694,133.89
1/1/2019 12:00,ETHUSD,133.98,134.28,133.23,134.28,114.5850964,134.13
1/1/2019 13:00,ETHUSD,134.28,135.26,133.85,134.4,79.303116,134.34
1/1/2019 14:00,ETHUSD,134.4,134.4,131.01,133.46,408.4477355,133.93
1/1/2019 15:00,ETHUSD,133.46,134.18,131.05,131.05,916.3009813,132.26
1/1/2019 16:00,ETHUSD,131.05,133.32,131.05,133.25,378.3495108,132.15
1/1/2019 17:00,ETHUSD,133.25,133.42,132.71,132.71,45.486111,132.98
1/1/2019 18:00,ETHUSD,132.71,132.71,129.77,131.73,4540.093674,132.22
1/1/2019 19:00,ETHUSD,131.73,136.45,131.73,135.51,620.0210324,133.62
1/1/2019 20:00,ETHUSD,135.51,140.87,135.51,138.2,1772.2059,136.86
1/1/2019 21:00,ETHUSD,138.2,138.97,137.82,137.83,237.3497742,138.02
1/1/2019 22:00,ETHUSD,137.83,138.18,136.2,138.13,193.661542,137.98
1/1/2019 23:00,ETHUSD,138.13,140.92,137.54,139.48,3127.716321,138.81
1/2/2019 0:00,ETHUSD,139.48,140.62,139,139.91,3086.623952,139.70
1/2/2019 1:00,ETHUSD,139.91,139.98,138.78,139.07,392.757432,139.49
1/2/2019 2:00,ETHUSD,139.07,139.29,138.81,139.15,220.1046627,139.11
1/2/2019 3:00,ETHUSD,139.15,139.8,139.02,139.17,187.5379706,139.16
1/2/2019 4:00,ETHUSD,139.17,140.4,139.01,140.17,3551.767613,139.67
1/2/2019 5:00,ETHUSD,140.17,140.18,139.57,139.72,883.1326804,139.95
1/2/2019 6:00,ETHUSD,139.72,140.07,139.31,139.66,472.6529488,139.69
1/2/2019 7:00,ETHUSD,139.66,144.69,139.66,144.33,3579.137814,142.00
1/2/2019 8:00,ETHUSD,144.33,147.01,144.33,145.53,2819.945731,144.93
1/2/2019 9:00,ETHUSD,145.53,146.34,144.62,145.18,1171.20217,145.36
1/2/2019 10:00,ETHUSD,145.18,149.88,145.18,148.94,4632.625436,147.06
1/2/2019 11:00,ETHUSD,148.94,150,147.69,148.65,2325.606207,148.80
1/2/2019 12:00,ETHUSD,148.65,148.8,147.08,148.48,725.894382,148.57
1/2/2019 13:00,ETHUSD,148.48,152.63,148.48,152.22,1788.312983,150.35
1/2/2019 14:00,ETHUSD,152.22,152.61,149.48,151.06,2483.849101,151.64
1/2/2019 15:00,ETHUSD,151.06,151.12,147.49,148.9,1116.710758,149.98
1/2/2019 16:00,ETHUSD,148.9,153.57,148.46,150.72,3907.73321,149.81
1/2/2019 17:00,ETHUSD,150.72,152,149,150.13,6951.232245,150.43
1/2/2019 18:00,ETHUSD,150.13,150.29,148.45,149.71,351.1715633,149.92
1/2/2019 19:00,ETHUSD,149.71,151.51,149.11,151.07,668.2809542,150.39
1/2/2019 20:00,ETHUSD,151.07,152.25,150.09,151.93,1726.115931,151.50
1/2/2019 21:00,ETHUSD,151.93,155.99,151.33,154.76,4612.988045,153.35
1/2/2019 22:00,ETHUSD,154.76,155.27,153.52,154.87,1108.857059,154.82
1/2/2019 23:00,ETHUSD,154.87,156.83,152.6,153.57,2232.778484,154.22
1/3/2019 0:00,ETHUSD,153.57,154.21,150.56,150.71,1479.859028,152.14
1/3/2019 1:00,ETHUSD,150.71,152.75,150.7,152.27,1118.363593,151.49
1/3/2019 2:00,ETHUSD,152.27,153.43,151.48,152.13,259.3021818,152.20
1/3/2019 3:00,ETHUSD,152.13,152.78,151.7,152.7,377.2600894,152.42
1/3/2019 4:00,ETHUSD,152.7,154.39,152.37,153.27,552.9955234,152.99
1/3/2019 5:00,ETHUSD,153.27,154.25,151.69,152.93,1080.119044,153.10
1/3/2019 6:00,ETHUSD,152.93,153.35,152.35,153.06,193.0486703,153.00
1/3/2019 7:00,ETHUSD,153.06,153.06,152.42,152.65,63.92107477,152.86
1/3/2019 8:00,ETHUSD,152.65,152.65,148.66,149.23,1369.95707,150.94
1/3/2019 9:00,ETHUSD,149.23,149.75,147.27,147.83,990.9845583,148.53
1/3/2019 10:00,ETHUSD,147.83,149.76,147.83,149.4,589.362758,148.62
1/3/2019 11:00,ETHUSD,149.4,149.4,146.12,147.61,1524.58414,148.51
1/3/2019 12:00,ETHUSD,147.61,150.01,147.48,149.52,1036.614904,148.57
1/3/2019 13:00,ETHUSD,149.52,150.07,148.51,149.45,281.8944627,149.49
1/3/2019 14:00,ETHUSD,149.45,149.72,147.94,148.03,568.0343812,148.74
1/3/2019 15:00,ETHUSD,148.03,149.47,147.55,149.16,1347.710791,148.60
1/3/2019 16:00,ETHUSD,149.16,149.44,144.78,145.34,1916.296263,147.25
1/3/2019 17:00,ETHUSD,145.34,146.56,144.48,146.02,1932.037233,145.68
1/3/2019 18:00,ETHUSD,146.02,146.08,144.62,145.48,1621.945389,145.75
1/3/2019 19:00,ETHUSD,145.48,146.51,145.48,146.37,783.9868056,145.93
1/3/2019 20:00,ETHUSD,146.37,148.72,146.37,148.62,617.7062246,147.50
1/3/2019 21:00,ETHUSD,148.62,148.62,147.03,148.19,479.4046782,148.41
1/3/2019 22:00,ETHUSD,148.19,148.63,146.84,148.63,630.1735958,148.41
1/3/2019 23:00,ETHUSD,148.63,148.91,146.47,147.07,133.0805237,147.85
1/4/2019 0:00,ETHUSD,147.07,147.16,145.11,146.82,1053.809495,146.95
1/4/2019 1:00,ETHUSD,146.82,148.82,146.8,148.4,193.9711813,147.61
1/4/2019 2:00,ETHUSD,148.4,148.4,146.98,147.58,95.38735012,147.99
1/4/2019 3:00,ETHUSD,147.58,151.52,147.19,151.52,808.6845594,149.55
1/4/2019 4:00,ETHUSD,151.52,152.42,150.43,152.27,1913.538036,151.90
1/4/2019 5:00,ETHUSD,152.27,154.46,151.11,153.55,343.3281066,152.91
1/4/2019 6:00,ETHUSD,153.55,155.31,153.39,154.03,995.6559006,153.79
1/4/2019 7:00,ETHUSD,154.03,155.46,153.64,153.99,1632.63476,154.01
1/4/2019 8:00,ETHUSD,153.99,154.33,151.73,151.76,3581.340938,152.88
1/4/2019 9:00,ETHUSD,151.76,152.04,150,150.57,1915.227923,151.17
1/4/2019 10:00,ETHUSD,150.57,152.64,150.35,152.64,275.4911994,151.61
1/4/2019 11:00,ETHUSD,152.64,152.74,150.7,150.7,862.1268122,151.67
1/4/2019 12:00,ETHUSD,150.7,151.16,149.78,151.11,283.9389136,150.91
1/4/2019 13:00,ETHUSD,151.11,151.58,149,150.8,4876.359078,150.96
1/4/2019 14:00,ETHUSD,150.8,151.48,146.22,147.36,3301.08799,149.08
1/4/2019 15:00,ETHUSD,147.36,148.08,145.74,148.03,2183.462124,147.70
1/4/2019 16:00,ETHUSD,148.03,149.33,146.88,148.77,1381.525295,148.40
1/4/2019 17:00,ETHUSD,148.77,149.41,147.48,148.35,654.1892231,148.56
1/4/2019 18:00,ETHUSD,148.35,148.78,147.68,148.23,947.7542155,148.29
1/4/2019 19:00,ETHUSD,148.23,149.31,147.72,149.3,366.8857534,148.77
1/4/2019 20:00,ETHUSD,149.3,152.48,148.37,152.04,2612.645683,150.67
1/4/2019 21:00,ETHUSD,152.04,155,151.65,154.25,2345.169691,153.15
1/4/2019 22:00,ETHUSD,154.25,154.99,152.08,153.43,1563.072624,153.84
1/4/2019 23:00,ETHUSD,153.43,154.47,152.75,153.56,295.3072358,153.50
1/5/2019 0:00,ETHUSD,153.56,153.81,153.56,153.81,0.013003,153.69
1/5/2019 1:00,ETHUSD,153.81,159.1,153.81,159.1,730.200615,156.46
1/5/2019 2:00,ETHUSD,159.1,160,158.11,159.12,1222.376109,159.11
1/5/2019 3:00,ETHUSD,159.12,160,157.12,158.73,8557.312573,158.93
1/5/2019 4:00,ETHUSD,158.73,160.7,158.27,158.47,1135.938539,158.60
1/5/2019 5:00,ETHUSD,158.47,159.97,158.31,159.52,199.718506,159.00
1/5/2019 6:00,ETHUSD,159.52,159.52,155.12,156.1,1349.51335,157.81
1/5/2019 7:00,ETHUSD,156.1,156.9,154.73,155.03,305.96439,155.57
